iter	RMSE
0	111857.8622
1	107799.8366
2	104130.7654
3	100684.5203
4	97564.93129
5	94743.94822
6	92063.11366
7	89645.47362
8	87336.35788
9	85433.10627
10	83616.30512
11	81841.41974
12	80188.72867
13	78684.90039
14	77338.29204
15	76108.27245
16	74881.06453
17	73839.46337
18	72846.04385
19	71949.96616
20	71063.97156
21	70288.50241
22	69612.03028
23	68990.8916
24	68383.28705
25	67844.98365
26	67309.10786
27	66833.98871
28	66407.42612
29	66029.14389
30	65686.79343
31	65371.64687
32	65015.44746
33	64694.03604
34	64418.79676
35	64196.77416
36	63988.11377
37	63781.87872
38	63561.48492
39	63319.7509
40	63127.81718
41	62951.28986
42	62804.49509
43	62648.25642
44	62513.94491
45	62388.47456
46	62256.39934
47	62117.5403
48	62010.03023
49	61896.95381
50	61802.41997
51	61682.85262
52	61586.47775
53	61495.58731
54	61407.7275
55	61308.55576
56	61226.24004
57	61161.69354
58	61080.60186
59	61006.23665
60	60936.24868
61	60859.87922
62	60806.86035
63	60758.39218
64	60698.28269
65	60627.5884
66	60582.99244
67	60540.10534
68	60479.40965
69	60417.01428
70	60359.34212
71	60299.32578
72	60264.02499
73	60214.78048
74	60171.40783
75	60122.31169
76	60074.2337
77	60033.94557
78	60007.73682
79	59950.86797
80	59911.50151
81	59857.50437
82	59822.70464
83	59808.73946
84	59780.23311
85	59764.38029
86	59734.72419
87	59725.95306
88	59687.84051
89	59659.0437
90	59602.35775
91	59573.06405
92	59525.10282
93	59513.21153
94	59493.70456
95	59469.86003
96	59454.13762
97	59425.96879
98	59385.53411
99	59367.16997
100	59349.71629
101	59329.76691
102	59294.84168
103	59269.0557
104	59230.69001
105	59206.99331
106	59196.21585
107	59181.53024
108	59152.06725
109	59127.3958
110	59115.01094
111	59095.19165
112	59071.12196
113	59060.67423
114	59035.79089
115	59026.73319
116	59003.75442
117	58981.08949
118	58959.93721
119	58952.81548
120	58917.22254
121	58871.32865
122	58851.47481
123	58817.10379
124	58782.1433
125	58758.54757
126	58743.06957
127	58728.12373
128	58707.84995
129	58679.03569
130	58636.13887
131	58616.36616
132	58592.93396
133	58570.02668
134	58555.62083
135	58542.23866
136	58507.0329
137	58478.93038
138	58454.85632
139	58436.26793
140	58425.66632
141	58407.45291
142	58397.4235
143	58374.59868
144	58367.36181
145	58340.33914
146	58319.54382
147	58282.37022
148	58271.79571
149	58253.66324
150	58235.13446
151	58222.18859
152	58200.21001
153	58192.51211
154	58168.08664
155	58146.99606
156	58125.98015
157	58102.0419
158	58090.14782
159	58081.80633
160	58056.14667
161	58035.92456
162	58014.86279
163	57995.28791
164	57977.97232
165	57962.04124
166	57938.58598
167	57922.84644
168	57893.46203
169	57881.82659
170	57868.06782
171	57844.59555
172	57830.79561
173	57817.77703
