iter	Passed	Remaining
0	3	1407
1	6	1372
2	8	1215
3	10	1124
4	13	1070
5	15	1026
6	17	994
7	19	995
8	22	991
9	24	977
10	26	958
11	28	940
12	30	927
13	32	919
14	34	913
15	36	907
16	38	898
17	40	891
18	42	883
19	44	875
20	46	871
21	48	866
22	50	861
23	52	854
24	54	850
25	56	846
26	59	843
27	60	837
28	63	836
29	65	831
30	66	825
31	69	821
32	71	819
33	73	814
34	75	812
35	77	812
36	79	807
37	81	804
38	83	799
39	85	798
40	87	796
41	89	792
42	91	789
43	94	788
44	96	786
45	98	786
46	100	784
47	103	783
48	105	782
49	107	781
50	109	780
51	111	777
52	114	776
53	116	774
54	118	773
55	121	771
56	123	770
57	125	770
58	128	770
59	131	771
60	133	769
61	135	769
62	138	770
63	141	771
64	143	770
65	146	768
66	148	765
67	150	762
68	152	759
69	154	757
70	156	754
71	158	751
72	160	748
73	162	745
74	164	743
75	167	741
76	168	737
77	171	735
78	173	732
79	175	730
80	177	727
81	179	724
82	181	720
83	183	717
84	185	716
85	187	712
86	189	710
87	190	704
88	192	702
89	195	700
90	197	697
91	200	698
92	202	698
93	204	694
94	206	691
95	208	689
96	210	686
97	213	685
98	215	683
99	217	680
100	219	678
101	221	674
102	223	672
103	225	669
104	227	667
105	229	664
106	231	661
107	233	659
108	235	656
109	238	656
110	240	653
111	241	649
112	243	646
113	245	643
114	247	640
115	249	637
116	251	635
117	253	632
118	255	630
119	256	627
120	258	624
121	261	623
122	263	621
123	265	619
124	267	616
125	272	620
126	274	618
127	276	616
128	279	616
129	281	613
130	284	611
131	287	612
132	290	611
133	292	609
134	294	606
135	296	603
136	298	601
137	302	602
138	305	602
139	307	599
140	309	597
141	311	594
142	313	591
143	315	589
144	318	589
145	321	588
146	325	588
147	327	586
148	329	583
149	331	580
150	332	577
151	335	575
152	338	574
153	341	573
154	343	571
155	345	569
156	347	566
157	350	565
158	353	564
159	356	563
160	358	561
161	361	559
162	363	556
163	364	554
164	367	552
165	370	551
166	373	550
167	375	548
168	378	546
169	380	543
170	382	541
171	385	539
172	387	538
173	389	535
174	392	534
175	394	531
176	396	529
177	400	528
178	403	527
179	405	525
180	408	523
181	410	521
182	412	518
183	415	517
184	418	515
185	421	514
186	424	513
187	426	510
188	428	508
189	431	506
190	434	504
191	436	501
192	438	499
193	441	498
194	443	496
195	446	493
196	448	491
197	451	489
198	453	487
199	455	485
200	458	483
201	460	480
202	462	478
203	464	475
204	467	473
205	469	471
206	471	469
207	474	467
208	476	465
209	479	463
210	482	461
211	484	459
212	486	456
213	488	453
214	490	451
215	492	449
216	494	447
217	496	444
218	498	441
219	500	439
220	502	436
221	504	433
222	507	432
223	508	429
224	510	426
225	512	424
226	514	421
227	517	419
228	519	417
229	521	414
230	523	412
231	525	409
232	526	406
233	528	404
234	531	402
235	532	399
236	535	397
237	536	394
238	538	392
239	540	389
240	542	387
241	546	386
242	549	384
243	551	382
244	553	379
245	555	377
246	557	374
247	560	372
248	563	370
249	564	368
250	566	365
251	569	363
252	571	361
253	572	358
254	574	356
255	576	353
256	579	351
257	580	348
258	582	346
259	584	343
260	586	341
261	588	339
262	590	336
263	592	334
264	594	332
265	596	329
266	598	327
267	600	324
268	601	322
269	604	319
270	606	317
271	607	315
272	609	312
273	611	310
274	613	308
275	615	305
276	618	303
277	619	301
278	621	298
279	623	296
280	625	293
281	627	291
282	629	289
283	631	286
284	633	284
285	635	282
286	637	279
287	639	277
288	641	275
289	643	272
290	645	270
291	647	268
292	650	266
293	652	264
294	654	261
295	656	259
296	659	257
297	662	255
298	664	253
299	666	251
300	668	248
301	671	246
302	672	244
303	676	242
304	678	240
305	680	237
306	682	235
307	684	233
308	686	231
309	688	228
310	690	226
311	693	224
312	695	222
313	697	219
314	699	217
315	702	215
316	704	213
317	707	211
318	710	209
319	712	207
320	714	204
321	716	202
322	717	200
323	719	197
324	722	195
325	725	193
326	728	191
327	730	189
328	732	187
329	734	184
330	736	182
331	738	180
332	741	178
333	744	176
334	746	173
335	748	171
336	750	169
337	752	166
338	754	164
339	757	162
340	761	160
341	762	158
342	764	156
343	766	153
344	768	151
345	771	149
346	774	147
347	777	145
348	779	142
349	781	140
350	783	138
351	785	136
352	787	133
353	790	131
354	793	129
355	796	127
356	797	125
357	800	122
358	802	120
359	804	118
360	807	116
361	810	114
362	812	111
363	814	109
364	817	107
365	819	105
366	822	103
367	825	100
368	827	98
369	829	96
370	830	94
371	832	91
372	835	89
373	838	87
374	841	85
375	843	83
376	845	80
377	847	78
378	849	76
379	852	74
380	855	71
381	858	69
382	861	67
383	863	65
384	866	62
385	868	60
386	872	58
387	875	56
388	877	54
389	879	51
390	882	49
391	884	47
392	887	45
393	890	42
394	892	40
395	894	38
396	896	36
397	899	33
398	902	31
399	905	29
400	908	27
401	910	24
402	912	22
403	915	20
404	917	18
405	920	15
406	922	13
407	924	11
408	927	9
409	929	6
410	932	4
411	934	2
412	936	0
