iter	RMSE
0	109221.1988
1	103697.4048
2	99117.64601
3	93980.68324
4	89562.92306
5	86066.3355
6	83023.649
7	80676.2736
8	78771.0706
9	77293.3091
10	76145.34257
11	75056.58561
12	74161.05629
13	73339.82125
14	72654.75849
15	72031.87883
16	71489.35921
17	70965.0329
18	70447.35962
19	69711.23513
20	69262.52552
21	68941.82243
22	68604.52117
23	68233.10703
24	67949.38105
25	67617.66996
26	67252.05997
27	67003.56607
28	66704.27979
29	66508.68497
30	66333.30262
31	66159.86608
32	65915.47568
33	65708.796
34	65575.93733
35	64985.45307
36	64763.17782
37	64535.83473
38	64349.40179
39	64083.09605
40	63894.56258
41	63656.34157
42	63458.18995
43	63223.72981
44	62779.87223
45	62602.58088
46	62241.15298
47	62073.95879
48	61950.48847
49	61796.67039
50	61628.85247
51	61530.35971
52	61411.03144
53	61306.08581
54	61145.33087
55	61012.94906
56	60628.07005
57	60439.18934
58	60321.2462
59	60170.50298
60	60004.27296
61	59934.14813
62	59843.53756
63	59567.88429
64	59513.31795
65	59311.0238
66	59056.46414
67	58960.83309
68	58828.75782
69	58682.54081
70	58473.19628
71	58263.84011
72	58019.74953
73	57908.50046
74	57837.67887
75	57728.35288
76	57529.37314
77	57425.93395
78	57333.22764
79	57239.09447
80	57102.69085
81	57008.43353
82	56849.25599
83	56687.89552
84	56527.45829
85	56441.63273
86	56342.3575
87	56228.82382
88	56128.35067
89	56004.89068
90	55922.72264
91	55842.03639
92	55766.20564
93	55686.24718
94	55641.65236
95	55567.95684
96	55498.07633
97	55428.41543
98	55333.92736
99	55275.23177
100	55147.46728
101	55085.74955
102	55004.73015
103	54953.90208
104	54784.6295
105	54729.60006
106	54666.67293
107	54642.14747
108	54603.26632
109	54591.61645
110	54548.39969
111	54504.08189
112	54445.92591
113	54324.43128
114	54250.40269
115	54145.27999
116	54081.88627
117	53967.49717
118	53925.20114
119	53868.80952
120	53766.18276
121	53703.55373
122	53672.99596
123	53639.66177
124	53556.83781
125	53510.69549
126	53437.79016
127	53405.35726
128	53369.52003
129	53286.00726
130	53202.13321
131	53118.95798
132	53025.6858
133	52952.8494
134	52883.99056
135	52825.28252
136	52762.07014
137	52704.07437
138	52645.0289
139	52592.5931
140	52532.06826
141	52466.33916
142	52440.55299
143	52395.44675
144	52353.28913
145	52315.13106
146	52220.15267
147	52189.46566
148	52165.83926
149	52121.33524
150	52081.51127
151	52054.04411
152	52028.00043
153	51993.47139
154	51953.45401
155	51945.82583
156	51881.90311
157	51850.32485
158	51803.54339
159	51771.61396
160	51747.25082
161	51670.34019
162	51644.24115
163	51597.98554
164	51533.65671
165	51500.26149
166	51436.80237
167	51376.77213
168	51335.69614
169	51299.17329
170	51254.96186
171	51218.09883
172	51154.42735
173	51118.06423
174	51099.72285
175	51069.71159
176	51056.08777
177	50998.36765
178	50970.31847
179	50925.64931
180	50873.57114
181	50849.55155
182	50827.93553
183	50795.01019
184	50763.97839
185	50728.49364
