iter	Passed	Remaining
0	2	1065
1	4	1057
2	6	1051
3	8	1064
4	11	1118
5	13	1104
6	15	1078
7	17	1047
8	18	1015
9	20	996
10	22	978
11	24	978
12	26	990
13	29	1003
14	31	1006
15	33	1010
16	35	1010
17	37	1002
18	39	990
19	43	1028
20	45	1026
21	47	1020
22	49	1019
23	51	1008
24	52	996
25	54	984
26	57	994
27	59	996
28	61	994
29	63	991
30	65	988
31	67	978
32	69	970
33	70	960
34	73	965
35	75	970
36	77	967
37	79	964
38	81	957
39	83	949
40	84	944
41	86	940
42	88	939
43	91	945
44	94	945
45	96	943
46	98	940
47	99	934
48	101	931
49	104	930
50	106	935
51	110	945
52	112	940
53	114	940
54	116	936
55	119	942
56	123	954
57	126	954
58	128	952
59	130	948
60	134	959
61	136	960
62	140	967
63	143	971
64	145	966
65	147	963
66	149	961
67	152	960
68	155	962
69	157	963
70	159	958
71	163	963
72	165	962
73	168	962
74	172	969
75	180	999
76	184	1008
77	198	1065
78	207	1099
79	214	1120
80	217	1115
81	237	1200
82	240	1200
83	243	1194
84	245	1188
85	247	1182
86	249	1174
87	252	1171
88	255	1169
89	258	1168
90	260	1161
91	263	1161
92	266	1156
93	274	1177
94	278	1177
95	280	1172
96	282	1166
97	285	1163
98	287	1156
99	290	1151
100	292	1145
101	293	1138
102	295	1130
103	297	1122
104	298	1115
105	301	1113
106	304	1109
107	306	1103
108	308	1097
109	309	1090
110	311	1083
111	313	1075
112	314	1068
113	316	1064
114	319	1059
115	321	1056
116	323	1051
117	325	1045
118	327	1040
119	329	1035
120	332	1031
121	334	1028
122	337	1026
123	339	1021
124	341	1016
125	343	1012
126	345	1007
127	349	1007
128	352	1005
129	355	1002
130	356	996
131	358	990
132	359	984
133	361	979
134	364	977
135	366	973
136	368	969
137	370	963
138	372	958
139	373	952
140	375	947
141	376	942
142	378	937
143	380	933
144	382	928
145	384	923
146	385	917
147	387	913
148	388	907
149	389	902
150	391	897
151	392	891
152	394	886
153	395	881
154	397	877
155	398	871
156	400	867
157	402	862
158	403	857
159	404	852
160	406	847
161	407	842
162	408	837
163	410	833
164	411	828
165	413	823
166	414	819
167	416	815
168	417	811
169	419	807
170	420	802
171	422	797
172	423	793
173	425	789
174	426	784
175	428	780
176	429	777
177	432	775
178	434	771
179	435	767
180	437	763
181	438	758
182	440	755
183	442	752
184	446	753
185	448	749
186	449	745
187	451	742
188	452	738
189	454	734
190	456	731
191	457	727
192	459	724
193	462	722
194	464	718
195	465	715
196	466	711
197	468	706
198	469	702
199	470	699
200	472	695
201	473	691
202	474	687
203	476	684
204	478	681
205	479	677
206	480	673
207	482	669
208	483	666
209	484	662
210	486	658
211	487	655
212	488	651
213	490	648
214	491	644
215	492	641
216	494	637
217	495	634
218	496	630
219	497	626
220	499	623
221	500	619
222	501	616
223	503	613
224	504	609
225	505	606
226	507	603
227	508	600
228	510	596
229	511	593
230	512	590
231	513	586
232	515	583
233	516	580
234	518	577
235	519	574
236	520	571
237	522	568
238	524	565
239	525	562
240	526	559
241	527	556
242	529	553
243	531	550
244	532	547
245	533	544
246	534	541
247	536	538
248	537	535
249	539	532
250	540	529
251	541	526
252	543	523
253	544	520
254	546	518
255	548	515
256	549	513
257	551	510
258	553	508
259	554	505
260	556	503
261	557	500
262	559	497
263	561	495
264	562	492
265	564	490
266	566	487
267	568	485
268	569	483
269	571	480
270	573	478
271	575	476
272	577	474
273	579	471
274	581	469
275	582	466
276	584	464
277	586	462
278	588	460
279	590	457
280	592	455
281	594	453
282	596	451
283	598	448
284	600	446
285	601	444
286	603	441
287	605	439
288	607	436
289	608	434
290	610	431
291	611	429
292	613	427
293	615	424
294	616	422
295	618	419
296	619	417
297	621	414
298	622	412
299	624	410
300	625	407
301	627	405
302	629	402
303	630	400
304	632	398
305	633	395
306	635	393
307	638	391
308	640	389
309	641	387
310	643	385
311	645	382
312	647	380
313	649	378
314	652	377
315	654	374
316	656	372
317	657	370
318	659	368
319	661	365
320	663	363
321	666	362
322	669	360
323	671	358
324	673	356
325	676	355
326	679	353
327	681	351
328	684	349
329	687	347
330	689	345
331	691	343
332	693	341
333	694	339
334	696	336
335	697	334
336	699	332
337	702	330
338	704	328
339	706	326
340	708	323
341	709	321
342	711	319
343	713	317
344	714	314
345	716	312
346	719	310
347	720	308
348	723	306
349	724	304
350	726	302
351	727	299
352	729	297
353	730	295
354	732	292
355	734	291
356	737	289
357	738	286
358	740	284
359	741	282
360	742	279
361	744	277
362	745	275
363	746	272
364	748	270
365	750	268
366	753	266
367	755	264
368	756	262
369	758	260
370	759	257
371	762	256
372	763	253
373	766	251
374	768	249
375	769	247
376	771	245
377	772	243
378	774	241
379	776	239
380	778	236
381	779	234
382	781	232
383	783	230
384	785	228
385	787	226
386	788	224
387	790	221
388	791	219
389	793	217
390	794	215
391	796	213
392	798	211
393	799	209
394	801	206
395	803	204
396	804	202
397	806	200
398	808	198
399	809	196
400	811	194
401	812	192
402	814	189
403	816	187
404	817	185
405	819	183
406	820	181
407	822	179
408	823	177
409	824	174
410	826	172
411	827	170
412	828	168
413	829	166
414	831	164
415	832	162
416	834	160
417	835	157
418	837	155
419	838	153
420	840	151
421	841	149
422	842	147
423	844	145
424	846	143
425	848	141
426	850	139
427	852	137
428	854	135
429	857	133
430	860	131
431	864	130
432	867	128
433	870	126
434	872	124
435	873	122
436	876	120
437	878	118
438	880	116
439	883	114
440	884	112
441	886	110
442	889	108
443	891	106
444	902	105
445	906	103
446	909	101
447	912	99
448	914	97
449	916	95
450	918	93
451	920	91
452	923	89
453	925	87
454	927	85
455	930	83
456	932	81
457	934	79
458	942	78
459	944	75
460	945	73
461	947	71
462	949	69
463	951	67
464	952	65
465	954	63
466	955	61
467	957	59
468	959	57
469	961	55
470	962	53
471	963	51
472	965	48
473	967	46
474	968	44
475	969	42
476	971	40
477	972	38
478	974	36
479	976	34
480	977	32
481	979	30
482	980	28
483	981	26
484	983	24
485	984	22
486	986	20
487	987	18
488	988	16
489	990	14
490	991	12
491	992	10
492	994	8
493	995	6
494	997	4
495	998	2
496	1000	0
